# Radius |  vgas   |  vobs   | err vobs|
# kpc       km/s      km/s     km/s
#=======================================
   0.1357     0.722       3.9     0.859
   0.2714     1.803      9.66      1.89
    0.407     3.252     13.65     2.388
   0.5427     4.869     16.33     2.158
   0.6784     4.945      17.3     2.139
   0.8141     5.347     18.25     2.737
   0.9498     5.506     20.37     2.815
    1.085     6.036     22.58     2.338
    1.221     6.825      24.6     1.904
    1.357     7.925     26.17     1.346
    1.492     8.879        28       2.1
    1.628     9.837     30.21     2.858
    1.764     11.22      31.8     3.009
      1.9     12.43     33.39     3.076
    2.035     13.07     34.49     3.207
    2.171     13.51     34.88     3.045
    2.307     13.85     35.32     2.714
    2.442     14.09     36.02     2.405
    2.578     14.32     36.57     2.049
    2.714     14.67     37.34     1.855
    2.849     15.08     37.82     1.685
    2.985     15.52     38.44     1.485
    3.121     15.97     39.34     1.401
    3.256     16.27     39.87     1.343
    3.392     16.48     40.33     1.259
    3.528     16.73     40.83     1.279
    3.663     16.89     41.36     1.246
    3.799      17.1     42.27     1.187
    3.935     17.46     43.14     1.268
     4.07     17.78     43.93      1.42
    4.206     18.01     44.43     1.494
    4.342     18.19     45.06     1.466
    4.477      18.4     45.94      1.35
    4.613     18.77      46.7     1.454
    4.749     19.08     47.24     1.508
    4.884     19.25     48.01     1.683
     5.02     19.39     48.39     1.803
    5.156     19.67     47.88     1.724
    5.292     19.93     47.66     2.003
    5.427     20.04     48.08       2.1
    5.563     20.05     47.82     2.347
    5.699     20.02     47.81      2.53
    5.834     19.94     48.39     2.603
     5.97     19.89     48.28     2.673
    6.106     19.88     47.64     3.042
    6.241     19.85     47.42     3.107
    6.377      19.8      47.1     2.564
    6.513     19.76     46.66     2.371
    6.648     19.66     46.94     2.616
    6.784      19.4     47.84     2.979
     6.92      19.2     47.91     3.611
    7.055     19.21     47.18     3.505
    7.191     19.18     47.34     3.598
    7.327     19.04     48.08     4.224
    7.462     18.82     48.52     3.739
    7.598     18.63     50.07      3.88
    7.734     18.48     51.34     3.949
    7.869     18.29      50.4     4.357
    8.005     18.16     51.71     4.171
    8.141     18.05     52.74     3.512
    8.276     18.01     53.28     3.786
